Corporate body type,Year,Value,Value-obsStatus
European Economic Interest Grouping (EEIG)11,2005-2006,0.01,
European Public Limited-Liability Company (SE)11,2005-2006,0.0,
Further Education and Sixth Form College Corps,2005-2006,0.0,
Investment Company with Variable Capital,2005-2006,0.01,
Investment Company with Variable Capital (Securities),2005-2006,0.0,
Investment Company with Variable Capital (Umbrella),2005-2006,0.0,
Limited Liability Partnership,2005-2006,0.73,
Limited Partnership8,2005-2006,0.56,
Northern Ireland Company,2005-2006,0.0,
Old Public Company,2005-2006,0.0,
Other Company Type,2005-2006,0.0,
Other Type of Company (in Northern Ireland),2005-2006,0.0,
Overseas Company,2005-2006,0.33,
*Private Limited,2005-2006,93.9,
*Private Limited by Guarantee/No Share Capital,2005-2006,2.23,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2005-2006,1.09,
*Private Limited by Shares (Section 30 Exemption),2005-2006,0.0,
*Private Unlimited,2005-2006,0.3,
*Private Unlimited/No Share Capital,2005-2006,0.0,
*Public Limited Company,2005-2006,0.4,
Protected Cell Company,2005-2006,0.0,
Registered Society9,2005-2006,0.36,
Royal Charter Company,2005-2006,0.03,
Scottish Charitable Incorporated Organisation,2005-2006,0.0,
Scottish Partnership10,2005-2006,0.0,
United Kingdom Economic Interest Grouping11,2005-2006,0.0,
United Kingdom Societas11,2005-2006,0.0,
Unregistered Company,2005-2006,0.0,
Total,2005-2006,100.0,
Assurance Company,2006-2007,0.04,
Charitable Incorporated Organisation7,2006-2007,0.0,
European Economic Interest Grouping (EEIG)11,2006-2007,0.01,
European Public Limited-Liability Company (SE)11,2006-2007,0.0,
Further Education and Sixth Form College Corps,2006-2007,0.0,
Investment Company with Variable Capital,2006-2007,0.01,
Investment Company with Variable Capital (Securities),2006-2007,0.0,
Investment Company with Variable Capital (Umbrella),2006-2007,0.0,
Limited Liability Partnership,2006-2007,0.94,
Limited Partnership8,2006-2007,0.55,
Northern Ireland Company,2006-2007,0.0,
Old Public Company,2006-2007,0.0,
Other Company Type,2006-2007,0.0,
Other Type of Company (in Northern Ireland),2006-2007,0.0,
Overseas Company,2006-2007,0.31,
*Private Limited,2006-2007,93.91,
*Private Limited by Guarantee/No Share Capital,2006-2007,2.19,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2006-2007,1.05,
*Private Limited by Shares (Section 30 Exemption),2006-2007,0.0,
*Private Unlimited,2006-2007,0.27,
*Private Unlimited/No Share Capital,2006-2007,0.0,
*Public Limited Company,2006-2007,0.37,
Protected Cell Company,2006-2007,0.0,
Registered Society9,2006-2007,0.32,
Royal Charter Company,2006-2007,0.03,
Scottish Charitable Incorporated Organisation,2006-2007,0.0,
Scottish Partnership10,2006-2007,0.0,
United Kingdom Economic Interest Grouping11,2006-2007,0.0,
United Kingdom Societas11,2006-2007,0.0,
Unregistered Company,2006-2007,0.0,
Total,2006-2007,100.0,
Assurance Company,2007-2008,0.03,
Charitable Incorporated Organisation7,2007-2008,0.0,
European Economic Interest Grouping (EEIG)11,2007-2008,0.01,
European Public Limited-Liability Company (SE)11,2007-2008,0.0,
Further Education and Sixth Form College Corps,2007-2008,0.0,
Investment Company with Variable Capital,2007-2008,0.01,
Investment Company with Variable Capital (Securities),2007-2008,0.0,
Investment Company with Variable Capital (Umbrella),2007-2008,0.0,
Limited Liability Partnership,2007-2008,1.16,
Limited Partnership8,2007-2008,0.56,
Northern Ireland Company,2007-2008,0.0,
Old Public Company,2007-2008,0.0,
Other Company Type,2007-2008,0.0,
Other Type of Company (in Northern Ireland),2007-2008,0.0,
Overseas Company,2007-2008,0.29,
*Private Limited,2007-2008,93.7,
*Private Limited by Guarantee/No Share Capital,2007-2008,2.23,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2007-2008,1.07,
*Private Limited by Shares (Section 30 Exemption),2007-2008,0.0,
*Private Unlimited,2007-2008,0.24,
*Private Unlimited/No Share Capital,2007-2008,0.0,
*Public Limited Company,2007-2008,0.35,
Protected Cell Company,2007-2008,0.0,
Registered Society9,2007-2008,0.3,
Royal Charter Company,2007-2008,0.03,
Scottish Charitable Incorporated Organisation,2007-2008,0.0,
Scottish Partnership10,2007-2008,0.0,
United Kingdom Economic Interest Grouping11,2007-2008,0.0,
United Kingdom Societas11,2007-2008,0.0,
Unregistered Company,2007-2008,0.0,
Total,2007-2008,100.0,
Assurance Company,2008-2009,0.03,
Charitable Incorporated Organisation7,2008-2009,0.0,
European Economic Interest Grouping (EEIG)11,2008-2009,0.01,
European Public Limited-Liability Company (SE)11,2008-2009,0.0,
Further Education and Sixth Form College Corps,2008-2009,0.0,
Investment Company with Variable Capital,2008-2009,0.01,
Investment Company with Variable Capital (Securities),2008-2009,0.0,
Investment Company with Variable Capital (Umbrella),2008-2009,0.0,
Limited Liability Partnership,2008-2009,1.37,
Limited Partnership8,2008-2009,0.59,
Northern Ireland Company,2008-2009,0.0,
Old Public Company,2008-2009,0.0,
Other Company Type,2008-2009,0.0,
Other Type of Company (in Northern Ireland),2008-2009,0.0,
Overseas Company,2008-2009,0.31,
*Private Limited,2008-2009,93.35,
*Private Limited by Guarantee/No Share Capital,2008-2009,2.33,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2008-2009,1.11,
*Private Limited by Shares (Section 30 Exemption),2008-2009,0.0,
*Private Unlimited,2008-2009,0.21,
*Private Unlimited/No Share Capital,2008-2009,0.0,
*Public Limited Company,2008-2009,0.34,
Protected Cell Company,2008-2009,0.0,
Registered Society9,2008-2009,0.3,
Royal Charter Company,2008-2009,0.03,
Scottish Charitable Incorporated Organisation,2008-2009,0.0,
Scottish Partnership10,2008-2009,0.0,
United Kingdom Economic Interest Grouping11,2008-2009,0.0,
United Kingdom Societas11,2008-2009,0.0,
Unregistered Company,2008-2009,0.0,
Total,2008-2009,100.0,
Assurance Company,2009-2010,0.03,
Charitable Incorporated Organisation7,2009-2010,0.0,
European Economic Interest Grouping (EEIG)11,2009-2010,0.01,
European Public Limited-Liability Company (SE)11,2009-2010,0.0,
Further Education and Sixth Form College Corps,2009-2010,0.0,
Investment Company with Variable Capital,2009-2010,0.01,
Investment Company with Variable Capital (Securities),2009-2010,0.0,
Investment Company with Variable Capital (Umbrella),2009-2010,0.0,
Limited Liability Partnership,2009-2010,1.52,
Limited Partnership8,2009-2010,0.66,
Northern Ireland Company,2009-2010,0.0,
Old Public Company,2009-2010,0.0,
Other Company Type,2009-2010,0.0,
Other Type of Company (in Northern Ireland),2009-2010,0.0,
Overseas Company,2009-2010,0.34,
*Private Limited,2009-2010,92.8,
*Private Limited by Guarantee/No Share Capital,2009-2010,2.51,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2009-2010,1.21,
*Private Limited by Shares (Section 30 Exemption),2009-2010,0.0,
*Private Unlimited,2009-2010,0.21,
*Private Unlimited/No Share Capital,2009-2010,0.0,
*Public Limited Company,2009-2010,0.34,
Protected Cell Company,2009-2010,0.0,
Registered Society9,2009-2010,0.32,
Royal Charter Company,2009-2010,0.03,
Scottish Charitable Incorporated Organisation,2009-2010,0.0,
Scottish Partnership10,2009-2010,0.0,
United Kingdom Economic Interest Grouping11,2009-2010,0.0,
United Kingdom Societas11,2009-2010,0.0,
Unregistered Company,2009-2010,0.0,
Total,2009-2010,100.0,
Assurance Company,2010-2011,0.03,
Charitable Incorporated Organisation7,2010-2011,0.0,
European Economic Interest Grouping (EEIG)11,2010-2011,0.01,
European Public Limited-Liability Company (SE)11,2010-2011,0.0,
Further Education and Sixth Form College Corps,2010-2011,0.0,
Investment Company with Variable Capital,2010-2011,0.01,
Investment Company with Variable Capital (Securities),2010-2011,0.0,
Investment Company with Variable Capital (Umbrella),2010-2011,0.0,
Limited Liability Partnership,2010-2011,1.66,
Limited Partnership8,2010-2011,0.7,
Northern Ireland Company,2010-2011,0.0,
Old Public Company,2010-2011,0.0,
Other Company Type,2010-2011,0.0,
Other Type of Company (in Northern Ireland),2010-2011,0.0,
Overseas Company,2010-2011,0.35,
*Private Limited,2010-2011,92.44,
*Private Limited by Guarantee/No Share Capital,2010-2011,2.62,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2010-2011,1.26,
*Private Limited by Shares (Section 30 Exemption),2010-2011,0.0,
*Private Unlimited,2010-2011,0.24,
*Private Unlimited/No Share Capital,2010-2011,0.0,
*Public Limited Company,2010-2011,0.31,
Protected Cell Company,2010-2011,0.0,
Registered Society9,2010-2011,0.33,
Royal Charter Company,2010-2011,0.03,
Scottish Charitable Incorporated Organisation,2010-2011,0.0,
Scottish Partnership10,2010-2011,0.0,
United Kingdom Economic Interest Grouping11,2010-2011,0.0,
United Kingdom Societas11,2010-2011,0.0,
Unregistered Company,2010-2011,0.0,
Total,2010-2011,100.0,
Assurance Company,2011-2012,0.03,
Charitable Incorporated Organisation7,2011-2012,0.0,
European Economic Interest Grouping (EEIG)11,2011-2012,0.01,
European Public Limited-Liability Company (SE)11,2011-2012,0.0,
Further Education and Sixth Form College Corps,2011-2012,0.0,
Investment Company with Variable Capital,2011-2012,0.01,
Investment Company with Variable Capital (Securities),2011-2012,0.0,
Investment Company with Variable Capital (Umbrella),2011-2012,0.0,
Limited Liability Partnership,2011-2012,1.77,
Limited Partnership8,2011-2012,0.73,
Northern Ireland Company,2011-2012,0.0,
Old Public Company,2011-2012,0.0,
Other Company Type,2011-2012,0.0,
Other Type of Company (in Northern Ireland),2011-2012,0.0,
Overseas Company,2011-2012,0.34,
*Private Limited,2011-2012,92.27,
*Private Limited by Guarantee/No Share Capital,2011-2012,2.67,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2011-2012,1.29,
*Private Limited by Shares (Section 30 Exemption),2011-2012,0.0,
*Private Unlimited,2011-2012,0.23,
*Private Unlimited/No Share Capital,2011-2012,0.0,
*Public Limited Company,2011-2012,0.28,
Protected Cell Company,2011-2012,0.0,
Registered Society9,2011-2012,0.32,
Royal Charter Company,2011-2012,0.03,
Scottish Charitable Incorporated Organisation,2011-2012,0.0,
Scottish Partnership10,2011-2012,0.0,
United Kingdom Economic Interest Grouping11,2011-2012,0.0,
United Kingdom Societas11,2011-2012,0.0,
Unregistered Company,2011-2012,0.0,
Total,2011-2012,100.07,
Assurance Company,2012-2013,0.03,
Charitable Incorporated Organisation7,2012-2013,0.0,
European Economic Interest Grouping (EEIG)11,2012-2013,0.01,
European Public Limited-Liability Company (SE)11,2012-2013,0.0,
Further Education and Sixth Form College Corps,2012-2013,0.0,
Investment Company with Variable Capital,2012-2013,0.02,
Investment Company with Variable Capital (Securities),2012-2013,0.0,
Investment Company with Variable Capital (Umbrella),2012-2013,0.0,
Limited Liability Partnership,2012-2013,1.81,
Limited Partnership8,2012-2013,0.78,
Northern Ireland Company,2012-2013,0.0,
Old Public Company,2012-2013,0.0,
Other Company Type,2012-2013,0.0,
Other Type of Company (in Northern Ireland),2012-2013,0.0,
Overseas Company,2012-2013,0.33,
*Private Limited,2012-2013,92.23,
*Private Limited by Guarantee/No Share Capital,2012-2013,2.74,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2012-2013,1.28,
*Private Limited by Shares (Section 30 Exemption),2012-2013,0.0,
*Private Unlimited,2012-2013,0.17,
*Private Unlimited/No Share Capital,2012-2013,0.0,
*Public Limited Company,2012-2013,0.25,
Protected Cell Company,2012-2013,0.0,
Registered Society9,2012-2013,0.31,
Royal Charter Company,2012-2013,0.03,
Scottish Charitable Incorporated Organisation,2012-2013,0.0,
Scottish Partnership10,2012-2013,0.0,
United Kingdom Economic Interest Grouping11,2012-2013,0.0,
United Kingdom Societas11,2012-2013,0.0,
Unregistered Company,2012-2013,0.0,
Total,2012-2013,100.0,
Assurance Company,2013-2014,0.03,
Charitable Incorporated Organisation7,2013-2014,0.0,
European Economic Interest Grouping (EEIG)11,2013-2014,0.01,
European Public Limited-Liability Company (SE)11,2013-2014,0.0,
Further Education and Sixth Form College Corps,2013-2014,0.0,
Investment Company with Variable Capital,2013-2014,0.02,
Investment Company with Variable Capital (Securities),2013-2014,0.0,
Investment Company with Variable Capital (Umbrella),2013-2014,0.0,
Limited Liability Partnership,2013-2014,1.77,
Limited Partnership8,2013-2014,0.85,
Northern Ireland Company,2013-2014,0.0,
Old Public Company,2013-2014,0.0,
Other Company Type,2013-2014,0.0,
Other Type of Company (in Northern Ireland),2013-2014,0.0,
Overseas Company,2013-2014,0.33,
*Private Limited,2013-2014,92.31,
*Private Limited by Guarantee/No Share Capital,2013-2014,2.73,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2013-2014,1.24,
*Private Limited by Shares (Section 30 Exemption),2013-2014,0.0,
*Private Unlimited,2013-2014,0.15,
*Private Unlimited/No Share Capital,2013-2014,0.01,
*Public Limited Company,2013-2014,0.23,
Protected Cell Company,2013-2014,0.0,
Registered Society9,2013-2014,0.3,
Royal Charter Company,2013-2014,0.03,
Scottish Charitable Incorporated Organisation,2013-2014,0.0,
Scottish Partnership10,2013-2014,0.0,
United Kingdom Economic Interest Grouping11,2013-2014,0.0,
United Kingdom Societas11,2013-2014,0.0,
Unregistered Company,2013-2014,0.0,
Total,2013-2014,100.0,
Assurance Company,2014-2015,0.03,
Charitable Incorporated Organisation7,2014-2015,0.0,
European Economic Interest Grouping (EEIG)11,2014-2015,0.01,
European Public Limited-Liability Company (SE)11,2014-2015,0.0,
Further Education and Sixth Form College Corps,2014-2015,0.0,
Investment Company with Variable Capital,2014-2015,0.02,
Investment Company with Variable Capital (Securities),2014-2015,0.0,
Investment Company with Variable Capital (Umbrella),2014-2015,0.0,
Limited Liability Partnership,2014-2015,1.7,
Limited Partnership8,2014-2015,0.91,
Northern Ireland Company,2014-2015,0.0,
Old Public Company,2014-2015,0.0,
Other Company Type,2014-2015,0.0,
Other Type of Company (in Northern Ireland),2014-2015,0.0,
Overseas Company,2014-2015,0.32,
*Private Limited,2014-2015,92.45,
*Private Limited by Guarantee/No Share Capital,2014-2015,2.7,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2014-2015,1.19,
*Private Limited by Shares (Section 30 Exemption),2014-2015,0.0,
*Private Unlimited,2014-2015,0.14,
*Private Unlimited/No Share Capital,2014-2015,0.01,
*Public Limited Company,2014-2015,0.22,
Protected Cell Company,2014-2015,0.0,
Registered Society9,2014-2015,0.29,
Royal Charter Company,2014-2015,0.02,
Scottish Charitable Incorporated Organisation,2014-2015,0.0,
Scottish Partnership10,2014-2015,0.0,
United Kingdom Economic Interest Grouping11,2014-2015,0.0,
United Kingdom Societas11,2014-2015,0.0,
Unregistered Company,2014-2015,0.0,
Total,2014-2015,100.0,
Assurance Company,2015-2016,0.02,
Charitable Incorporated Organisation7,2015-2016,0.0,
European Economic Interest Grouping (EEIG)11,2015-2016,0.01,
European Public Limited-Liability Company (SE)11,2015-2016,0.0,
Further Education and Sixth Form College Corps,2015-2016,0.0,
Investment Company with Variable Capital,2015-2016,0.01,
Investment Company with Variable Capital (Securities),2015-2016,0.0,
Investment Company with Variable Capital (Umbrella),2015-2016,0.0,
Limited Liability Partnership,2015-2016,1.58,
Limited Partnership8,2015-2016,1.04,
Northern Ireland Company,2015-2016,0.0,
Old Public Company,2015-2016,0.0,
Other Company Type,2015-2016,0.0,
Other Type of Company (in Northern Ireland),2015-2016,0.0,
Overseas Company,2015-2016,0.3,
*Private Limited,2015-2016,92.67,
*Private Limited by Guarantee/No Share Capital,2015-2016,2.63,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2015-2016,1.11,
*Private Limited by Shares (Section 30 Exemption),2015-2016,0.0,
*Private Unlimited,2015-2016,0.12,
*Private Unlimited/No Share Capital,2015-2016,0.01,
*Public Limited Company,2015-2016,0.19,
Protected Cell Company,2015-2016,0.0,
Registered Society9,2015-2016,0.28,
Royal Charter Company,2015-2016,0.02,
Scottish Charitable Incorporated Organisation,2015-2016,0.0,
Scottish Partnership10,2015-2016,0.0,
United Kingdom Economic Interest Grouping11,2015-2016,0.0,
United Kingdom Societas11,2015-2016,0.0,
Unregistered Company,2015-2016,0.0,
Total,2015-2016,100.0,
Assurance Company,2016-2017,0.02,
Charitable Incorporated Organisation7,2016-2017,0.0,
European Economic Interest Grouping (EEIG)11,2016-2017,0.01,
European Public Limited-Liability Company (SE)11,2016-2017,0.0,
Further Education and Sixth Form College Corps,2016-2017,0.0,
Investment Company with Variable Capital,2016-2017,0.01,
Investment Company with Variable Capital (Securities),2016-2017,0.0,
Investment Company with Variable Capital (Umbrella),2016-2017,0.0,
Limited Liability Partnership,2016-2017,1.51,
Limited Partnership8,2016-2017,1.12,
Northern Ireland Company,2016-2017,0.0,
Old Public Company,2016-2017,0.0,
Other Company Type,2016-2017,0.0,
Other Type of Company (in Northern Ireland),2016-2017,0.0,
Overseas Company,2016-2017,0.29,
*Private Limited,2016-2017,92.78,
*Private Limited by Guarantee/No Share Capital,2016-2017,2.62,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2016-2017,1.05,
*Private Limited by Shares (Section 30 Exemption),2016-2017,0.0,
*Private Unlimited,2016-2017,0.11,
*Private Unlimited/No Share Capital,2016-2017,0.01,
*Public Limited Company,2016-2017,0.17,
Protected Cell Company,2016-2017,0.0,
Registered Society9,2016-2017,0.26,
Royal Charter Company,2016-2017,0.02,
Scottish Charitable Incorporated Organisation,2016-2017,0.0,
Scottish Partnership10,2016-2017,0.0,
United Kingdom Economic Interest Grouping11,2016-2017,0.0,
United Kingdom Societas11,2016-2017,0.0,
Unregistered Company,2016-2017,0.0,
Total,2016-2017,100.0,
Assurance Company,2017-2018,0.02,
Charitable Incorporated Organisation7,2017-2018,0.33,
European Economic Interest Grouping (EEIG)11,2017-2018,0.01,
European Public Limited-Liability Company (SE)11,2017-2018,0.0,
Further Education and Sixth Form College Corps,2017-2018,0.0,
Investment Company with Variable Capital,2017-2018,0.01,
Investment Company with Variable Capital (Securities),2017-2018,0.0,
Investment Company with Variable Capital (Umbrella),2017-2018,0.0,
Limited Liability Partnership,2017-2018,1.29,
Limited Partnership8,2017-2018,1.18,
Northern Ireland Company,2017-2018,0.0,
Old Public Company,2017-2018,0.0,
Other Company Type,2017-2018,0.0,
Other Type of Company (in Northern Ireland),2017-2018,0.0,
Overseas Company,2017-2018,0.29,
*Private Limited,2017-2018,92.71,
*Private Limited by Guarantee/No Share Capital,2017-2018,2.51,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2017-2018,1.01,
*Private Limited by Shares (Section 30 Exemption),2017-2018,0.0,
*Private Unlimited,2017-2018,0.1,
*Private Unlimited/No Share Capital,2017-2018,0.01,
*Public Limited Company,2017-2018,0.16,
Protected Cell Company,2017-2018,0.0,
Registered Society9,2017-2018,0.25,
Royal Charter Company,2017-2018,0.02,
Scottish Charitable Incorporated Organisation,2017-2018,0.08,
Scottish Partnership10,2017-2018,0.01,
United Kingdom Economic Interest Grouping11,2017-2018,0.0,
United Kingdom Societas11,2017-2018,0.0,
Unregistered Company,2017-2018,0.0,
Total,2017-2018,100.0,
Assurance Company,2018-2019,0.02,
Charitable Incorporated Organisation7,2018-2019,0.39,
European Economic Interest Grouping (EEIG)11,2018-2019,0.01,
European Public Limited-Liability Company (SE)11,2018-2019,0.0,
Further Education and Sixth Form College Corps,2018-2019,0.0,
Investment Company with Variable Capital,2018-2019,0.01,
Investment Company with Variable Capital (Securities),2018-2019,0.0,
Investment Company with Variable Capital (Umbrella),2018-2019,0.0,
Limited Liability Partnership,2018-2019,1.2,
Limited Partnership8,2018-2019,1.19,
Northern Ireland Company,2018-2019,0.0,
Old Public Company,2018-2019,0.0,
Other Company Type,2018-2019,0.0,
Other Type of Company (in Northern Ireland),2018-2019,0.0,
Overseas Company,2018-2019,0.28,
*Private Limited,2018-2019,92.82,
*Private Limited by Guarantee/No Share Capital,2018-2019,2.49,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2018-2019,0.96,
*Private Limited by Shares (Section 30 Exemption),2018-2019,0.0,
*Private Unlimited,2018-2019,0.1,
*Private Unlimited/No Share Capital,2018-2019,0.0,
*Public Limited Company,2018-2019,0.15,
Protected Cell Company,2018-2019,0.0,
Registered Society9,2018-2019,0.25,
Royal Charter Company,2018-2019,0.02,
Scottish Charitable Incorporated Organisation,2018-2019,0.09,
Scottish Partnership10,2018-2019,0.01,
United Kingdom Economic Interest Grouping11,2018-2019,0.0,
United Kingdom Societas11,2018-2019,0.0,
Unregistered Company,2018-2019,0.0,
Total,2018-2019,100.0,
Assurance Company,2019-2020,0.02,
Charitable Incorporated Organisation7,2019-2020,0.47,
European Economic Interest Grouping (EEIG)11,2019-2020,0.01,
European Public Limited-Liability Company (SE)11,2019-2020,0.0,
Further Education and Sixth Form College Corps,2019-2020,0.0,
Investment Company with Variable Capital,2019-2020,0.01,
Investment Company with Variable Capital (Securities),2019-2020,0.0,
Investment Company with Variable Capital (Umbrella),2019-2020,0.0,
Limited Liability Partnership,2019-2020,1.13,
Limited Partnership8,2019-2020,1.18,
Northern Ireland Company,2019-2020,0.0,
Old Public Company,2019-2020,0.0,
Other Company Type,2019-2020,0.0,
Other Type of Company (in Northern Ireland),2019-2020,0.0,
Overseas Company,2019-2020,0.28,
*Private Limited,2019-2020,92.81,
*Private Limited by Guarantee/No Share Capital,2019-2020,2.55,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2019-2020,0.91,
*Private Limited by Shares (Section 30 Exemption),2019-2020,0.0,
*Private Unlimited,2019-2020,0.09,
*Private Unlimited/No Share Capital,2019-2020,0.0,
*Public Limited Company,2019-2020,0.14,
Protected Cell Company,2019-2020,0.0,
Registered Society9,2019-2020,0.24,
Royal Charter Company,2019-2020,0.02,
Scottish Charitable Incorporated Organisation,2019-2020,0.1,
Scottish Partnership10,2019-2020,0.01,
United Kingdom Economic Interest Grouping11,2019-2020,0.0,
United Kingdom Societas11,2019-2020,0.0,
Unregistered Company,2019-2020,0.0,
Total,2019-2020,100.0,
Assurance Company,2020-2021,0.02,
Charitable Incorporated Organisation7,2020-2021,0.51,
European Economic Interest Grouping (EEIG)11,2020-2021,0.0,
European Public Limited-Liability Company (SE)11,2020-2021,0.0,
Further Education and Sixth Form College Corps,2020-2021,0.0,
Investment Company with Variable Capital,2020-2021,0.01,
Investment Company with Variable Capital (Securities),2020-2021,0.0,
Investment Company with Variable Capital (Umbrella),2020-2021,0.0,
Limited Liability Partnership,2020-2021,1.07,
Limited Partnership8,2020-2021,1.12,
Northern Ireland Company,2020-2021,0.0,
Old Public Company,2020-2021,0.0,
Other Company Type,2020-2021,0.0,
Other Type of Company (in Northern Ireland),2020-2021,0.0,
Overseas Company,2020-2021,0.26,
*Private Limited,2020-2021,93.0,
*Private Limited by Guarantee/No Share Capital,2020-2021,2.57,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2020-2021,0.84,
*Private Limited by Shares (Section 30 Exemption),2020-2021,0.0,
*Private Unlimited,2020-2021,0.09,
*Private Unlimited/No Share Capital,2020-2021,0.0,
*Public Limited Company,2020-2021,0.13,
Protected Cell Company,2020-2021,0.0,
Registered Society9,2020-2021,0.25,
Royal Charter Company,2020-2021,0.02,
Scottish Charitable Incorporated Organisation,2020-2021,0.1,
Scottish Partnership10,2020-2021,0.01,
United Kingdom Economic Interest Grouping11,2020-2021,0.01,
United Kingdom Societas11,2020-2021,0.0,
Unregistered Company,2020-2021,0.0,
Total,2020-2021,100.0,
Assurance Company,2021-2022,0.02,
Charitable Incorporated Organisation7,2021-2022,0.57,
European Economic Interest Grouping (EEIG)11,2021-2022,0.0,
European Public Limited-Liability Company (SE)11,2021-2022,0.0,
Further Education and Sixth Form College Corps,2021-2022,0.0,
Investment Company with Variable Capital,2021-2022,0.01,
Investment Company with Variable Capital (Securities),2021-2022,0.0,
Investment Company with Variable Capital (Umbrella),2021-2022,0.0,
Limited Liability Partnership,2021-2022,1.03,
Limited Partnership8,2021-2022,1.11,
Northern Ireland Company,2021-2022,0.0,
Old Public Company,2021-2022,0.0,
Other Company Type,2021-2022,0.0,
Other Type of Company (in Northern Ireland),2021-2022,0.0,
Overseas Company,2021-2022,0.27,
*Private Limited,2021-2022,93.08,
*Private Limited by Guarantee/No Share Capital,2021-2022,2.57,
*Private Limited by Guarantee/No Share Capital (Use of Limited Exemption),2021-2022,0.79,
*Private Limited by Shares (Section 30 Exemption),2021-2022,0.0,
*Private Unlimited,2021-2022,0.09,
*Private Unlimited/No Share Capital,2021-2022,0.0,
*Public Limited Company,2021-2022,0.12,
Protected Cell Company,2021-2022,0.0,
Registered Society9,2021-2022,0.2,
Royal Charter Company,2021-2022,0.02,
Scottish Charitable Incorporated Organisation,2021-2022,0.11,
